"","modelo","elasticidad","precio_optimo","venta_optimo","n_periodos","cor","funcion_ventas","funcion_ingresos","alfa0","alfa1","elasticidad_cat","elasticidad_orden"
"1","CX-5",2.45438418540572,18608.5814110022,176.158014006026,22,-0.206109272695866,"352.32-0.01*p","352.32*p-0.01*p^2",352.316028012052,-0.00946649344811817,"Elastica","[1-3>"
"2","OROCH",5.98408668245508,10497.8323070427,142.553495927777,19,-0.477429759062603,"285.11-0.01*p","285.11*p-0.01*p^2",285.106991855554,-0.0135793268322777,"Elastica","[3-6>"
"3","JS2",5.75783644644451,7475.74276495568,235.757152759182,14,-0.525237102290456,"471.51-0.03*p","471.51*p-0.03*p^2",471.514305518364,-0.0315362847775273,"Elastica","[3-6>"
"4","VITARA",9.76549411075017,13140.3528722264,131.643568628789,22,-0.430783315056327,"263.29-0.01*p","263.29*p-0.01*p^2",263.287137257579,-0.0100182673866417,"Elastica","[9-12>"
"5","CX30",3.47991466332793,18396.41968801,84.8919545473651,22,-0.170009080768232,"169.780*p","169.78*p0*p^2",169.78390909473,-0.0046145910990873,"Elastica","[3-6>"
"6","VOLEEX_C30_GAS",5.19291363188245,6427.87020368368,174.767264139877,16,-0.373288529862815,"349.53-0.03*p","349.53*p-0.03*p^2",349.534528279754,-0.0271889846250663,"Elastica","[3-6>"
"7","KWID",4.52331514674856,6412.78357066359,73.0784656462677,20,-0.206390762898168,"146.16-0.01*p","146.16*p-0.01*p^2",146.156931292535,-0.0113957480150395,"Elastica","[3-6>"
"8","CX70_GAS",8.74885105693802,9825.24178816427,123.440278447582,17,-0.207532598947759,"246.88-0.01*p","246.88*p-0.01*p^2",246.880556895164,-0.0125635868418303,"Elastica","[6-9>"
"9","LOGAN_SEDAN_GAS",9.71363170069903,6162.2574787627,209.043044425478,17,-0.562789670675643,"418.09-0.03*p","418.09*p-0.03*p^2",418.086088850955,-0.0339231272217874,"Elastica","[9-12>"
"10","BALENO",1.35258821448514,19670.5497191674,24.0050176240218,22,-0.0436182047605787,"48.010*p","48.01*p0*p^2",48.0100352480436,-0.00122035316586149,"Elastica","[1-3>"
"11","JS2_GAS",3.75803671708989,8221.04934582768,108.913000669907,14,-0.417382550634002,"217.83-0.01*p","217.83*p-0.01*p^2",217.826001339813,-0.013248065555668,"Elastica","[3-6>"
"12","CS15_GAS",1.06230326408664,20001.4916689471,24.0207216368268,20,-0.0770901367681972,"48.040*p","48.04*p0*p^2",48.0414432736535,-0.00120094651111045,"Elastica","[1-3>"
"13","ERTIGA_GAS",11.647944100471,10014.9337800258,120.584054821804,23,-0.543567190975913,"241.17-0.01*p","241.17*p-0.01*p^2",241.168109643609,-0.0120404245769754,"Elastica","[9-12>"
"14","M4",1.34820514818988,11336.7718113456,38.3746038946713,17,-0.112213118852863,"76.750*p","76.75*p0*p^2",76.7492077893426,-0.00338496747868445,"Elastica","[1-3>"
"15","CELERIO",3.85657709976478,6594.89586053707,48.8903423198603,18,-0.58393503283745,"97.78-0.01*p","97.78*p-0.01*p^2",97.7806846397206,-0.00741336077987421,"Elastica","[3-6>"
"16","NEW DZIRE",0.590540824856526,15313.4958518618,19.5692919719102,20,-0.111036050348184,"39.140*p","39.14*p0*p^2",39.1385839438204,-0.00127791146849927,"Inelastica","[0-1>"
"17","ALTO",5.67877562929947,4472.22109769346,71.6775115257713,19,-0.481790146546061,"143.36-0.02*p","143.36*p-0.02*p^2",143.355023051543,-0.0160272736879531,"Elastica","[3-6>"
"18","ERTIGA",4.48770918254997,12948.2049767833,34.61680437727,20,-0.134744100190373,"69.230*p","69.23*p0*p^2",69.23360875454,-0.00267348288348381,"Elastica","[3-6>"
"19","JS3",11.8830253800348,8308.92571151265,147.792918325015,13,-0.644093226185013,"295.59-0.02*p","295.59*p-0.02*p^2",295.585836650031,-0.0177872475283101,"Elastica","[9-12>"
"20","VITARA_GAS",5.35839550702784,12968.1667917166,43.4597909837415,17,-0.414503738612012,"86.920*p","86.92*p0*p^2",86.9195819674831,-0.0033512671206158,"Elastica","[3-6>"
"21","POER",0.218962416231013,41818.9055438175,19.7998397879497,12,-0.0633635149912967,"39.60*p","39.6*p0*p^2",39.5996795758994,-0.000473466235676675,"Inelastica","[0-1>"
"22","T6",0.969896710029179,18235.5555532129,18.1021560744385,19,-0.273526154095228,"36.20*p","36.2*p0*p^2",36.2043121488771,-0.000992684649591009,"Inelastica","[0-1>"
"23","S3_GAS",9.31352652149719,7742.14494693525,90.9654799016901,20,-0.351959491121845,"181.93-0.01*p","181.93*p-0.01*p^2",181.93095980338,-0.0117493899333025,"Elastica","[9-12>"
"24","REFINE_GAS",0.57667757064618,21697.381260926,13.355601642385,20,-0.0614952168118158,"26.710*p","26.71*p0*p^2",26.71120328477,-0.000615539796336465,"Inelastica","[0-1>"
"25","CS55",2.32371618661914,23429.7759273714,13.6253181723634,18,-0.0645121451919425,"27.250*p","27.25*p0*p^2",27.2506363447267,-0.000581538560786911,"Elastica","[1-3>"
"26","XL7",9.19959491626681,12197.7990341205,67.7899463751404,17,-0.37074506895464,"135.58-0.01*p","135.58*p-0.01*p^2",135.579892750281,-0.00555755560372112,"Elastica","[9-12>"
"27","JS3_GAS",5.26015358775697,9191.61872658979,71.1425449777008,13,-0.532316977359517,"142.29-0.01*p","142.29*p-0.01*p^2",142.285089955402,-0.00773993646754489,"Elastica","[3-6>"
"28","JS4_GAS",4.85182028964645,11229.5723713766,40.012594718832,12,-0.145440717495806,"80.030*p","80.03*p0*p^2",80.025189437664,-0.00356314500637809,"Elastica","[3-6>"
"29","WINGLE 7",2.98265131602035,13612.1914732801,24.758654815796,18,-0.225627708404293,"49.520*p","49.52*p0*p^2",49.5173096315921,-0.00181885884167849,"Elastica","[1-3>"
"30","S-CROSS",0.45927769659135,24337.8316571002,11.3571791743938,19,-0.155546310755586,"22.710*p","22.71*p0*p^2",22.7143583487876,-0.000466647125118089,"Inelastica","[0-1>"
"31","LOGAN SEDAN",2.36120323178215,7819.10881131447,18.9147871599908,17,-0.110608853040014,"37.830*p","37.83*p0*p^2",37.8295743199817,-0.00241904641774784,"Elastica","[1-3>"
"32","MAZDA 2",0.968183337901691,16594.1760807412,10.0527315161183,18,-0.245225381469771,"20.110*p","20.11*p0*p^2",20.1054630322366,-0.000605798773449512,"Inelastica","[0-1>"
"33","BALENO_GAS",3.27037553424798,9664.96615185041,19.0737251162517,17,-0.364966088211882,"38.150*p","38.15*p0*p^2",38.1474502325034,-0.00197349114488103,"Elastica","[3-6>"
"34","H2 HAVAL",3.6407866198854,11632.9155037661,21.9021733289382,12,-0.316208940581716,"43.80*p","43.8*p0*p^2",43.8043466578764,-0.00188277593195338,"Elastica","[3-6>"
"35","NEWDZIRE_GAS",0.324431465084035,25967.67727554,4.29623818545012,19,-0.114125236540317,"8.590*p","8.59*p0*p^2",8.59247637090023,-0.000165445609164934,"Inelastica","[0-1>"
"36","C5 AIRCROSS",1.04146648372963,34537.5473655102,7.58390489262329,15,-0.178964301287448,"15.170*p","15.17*p0*p^2",15.1678097852466,-0.000219584350109258,"Elastica","[1-3>"
"37","STEPWAY",4.04965174929321,10577.1258580767,14.6866584734317,16,-0.211781079158969,"29.370*p","29.37*p0*p^2",29.3733169468633,-0.00138853018017337,"Elastica","[3-6>"
"38","S_CROSS_GAS",9.32201185702656,10514.114754295,27.0050245954421,13,-0.629497204938267,"54.010*p","54.01*p0*p^2",54.0100491908842,-0.00256845442783575,"Elastica","[9-12>"
